City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,norman wells,65.282,-126.8329,-25.76,99,96,0.66,CA,1675480100
1,kavieng,-2.5744,150.7967,28.14,73,100,1.92,PG,1675480101
2,tulum,20.2167,-87.4667,21.66,92,69,2.74,MX,1675480101
3,mahebourg,-20.4081,57.7,25.14,82,60,3.85,MU,1675480101
4,albany,42.6001,-73.9662,-20.43,47,89,2.24,US,1675480102
5,new norfolk,-42.7826,147.0587,16.51,68,100,1.79,AU,1675480103
6,lagoa,39.05,-27.9833,14.01,85,100,6.1,PT,1675480104
7,arraial do cabo,-22.9661,-42.0278,24.25,90,97,8.6,BR,1675480104
8,den helder,52.9599,4.7593,7.21,93,100,2.68,NL,1675480105
9,pacific grove,36.6177,-121.9166,12.84,89,100,0.89,US,1675480004
10,mar del plata,-38.0023,-57.5575,21.16,75,0,4.02,AR,1675480017
11,nuevo ideal,24.8875,-105.0728,7.58,45,0,2.07,MX,1675480106
12,tsuruoka,38.7217,139.8217,1.52,90,100,2.19,JP,1675480107
13,cape town,-33.9258,18.4232,20.06,71,0,1.79,ZA,1675480107
14,clyde river,70.4692,-68.5914,-32.87,62,0,4.63,CA,1675479812
15,atuona,-9.8,-139.0333,26.16,77,20,8.9,PF,1675480108
16,bikramganj,25.2,84.25,16.11,44,44,4.32,IN,1675480108
17,tuktoyaktuk,69.4541,-133.0374,-37.3,100,25,1.12,CA,1675480108
18,inta,66.0317,60.1659,-14.06,96,98,3.01,RU,1675480109
19,abdulino,53.7,53.6667,-12.15,84,100,3.19,RU,1675480109
20,punta arenas,-53.15,-70.9167,10.06,66,0,9.26,CL,1675480110
21,rio grande,-32.035,-52.0986,22.31,84,87,6.94,BR,1675480110
22,rikitea,-23.1203,-134.9692,25.88,73,100,2.12,PF,1675480110
23,hermanus,-34.4187,19.2345,19.33,84,0,4.69,ZA,1675480111
24,saint george,37.1041,-113.5841,11.25,48,0,3.6,US,1675480000
25,butaritari,3.0707,172.7902,27.69,78,10,7.62,KI,1675480111
26,port elizabeth,-33.918,25.5701,22.28,97,2,3.13,ZA,1675480112
27,quatre cocos,-20.2078,57.7625,25.05,81,67,3.44,MU,1675480112
28,castro,-24.7911,-50.0119,18.35,97,100,3.01,BR,1675480113
29,hilo,19.7297,-155.09,24.6,83,40,3.09,US,1675480113
30,karratha,-20.7377,116.8463,34.68,39,9,3.85,AU,1675480114
31,east london,-33.0153,27.9116,22.37,85,100,5.14,ZA,1675480114
32,almeirim,-1.5233,-52.5817,22.85,96,100,1.38,BR,1675480114
33,caravelas,-17.7125,-39.2481,25.02,83,5,3.43,BR,1675480115
34,nortelandia,-14.4547,-56.8028,22.54,94,100,0.47,BR,1675480115
35,khatanga,71.9667,102.5,-35.79,100,70,1.67,RU,1675480115
36,ushuaia,-54.8,-68.3,5.67,83,7,2.44,AR,1675480017
37,fukue,32.6881,128.8419,8.97,55,73,9.43,JP,1675480116
38,bredasdorp,-34.5322,20.0403,17.44,91,2,2.5,ZA,1675480116
39,lasa,46.6166,10.7002,2.61,95,86,4.41,IT,1675480117
40,vaini,-21.2,-175.2,28.09,83,75,4.63,TO,1675480117
41,millinocket,45.6573,-68.7098,-27.94,57,100,7.72,US,1675480117
42,port alfred,-33.5906,26.891,21.21,90,25,1.34,ZA,1675480117
43,mogadishu,2.0371,45.3438,23.89,78,73,8.66,SO,1675480118
44,tadine,-21.55,167.8833,29.18,73,100,6.97,NC,1675480080
45,port-gentil,-0.7193,8.7815,27.2,81,40,3.92,GA,1675480119
46,sao joao da barra,-21.6403,-41.0511,24.26,90,48,7.35,BR,1675479843
